"sensor","minute_interval","ramp_per_second","ramp_per_minute","run"
"Temp1",0,0.00450174825174797,0.270104895104878,1
"Temp1",1,0.00441433566433535,0.264860139860121,1
"Temp1",2,0.00511363636363627,0.306818181818176,1
"Temp1",3,0.00476398601398592,0.285839160839155,1
"Temp1",4,0.00454545454545451,0.27272727272727,1
"Temp1",5,0.0045454545454544,0.272727272727264,1
"Temp1",6,0.00472027972027939,0.283216783216763,1
"Temp1",7,0.00445804195804173,0.267482517482504,1
"Temp1",8,0.00345279720279713,0.207167832167828,1
"Temp1",9,0.00480769230769224,0.288461538461535,1
"Temp1",10,0.00388986013985996,0.233391608391598,1
"Temp1",11,0.003321678321678,0.19930069930068,1
"Temp1",12,0.00397727272727268,0.238636363636361,1
"Temp1",13,0.00480769230769213,0.288461538461528,1
"Temp1",14,0.00419580419580419,0.251748251748251,1
"Temp1",15,0.00445804195804177,0.267482517482506,1
"Temp1",16,0.00380244755244718,0.228146853146831,1
"Temp1",17,0.00393356643356641,0.236013986013985,1
"Temp1",18,0.00441433566433563,0.264860139860138,1
"Temp1",19,0.00437062937062921,0.262237762237752,1
"Temp1",20,0.003583916083916,0.21503496503496,1
"Temp1",21,0.00393356643356616,0.23601398601397,1
"Temp1",22,0.00410839160839143,0.246503496503486,1
"Temp1",23,0.00358391608391594,0.215034965034957,1
"Temp1",24,0.00428321678321658,0.256993006992995,1
"Temp1",25,0.00489510489510483,0.29370629370629,1
"Temp1",26,0.00432692307692325,0.259615384615395,1
"Temp1",27,0.00458916083916073,0.275349650349644,1
"Temp1",28,0.00441433566433566,0.26486013986014,1
"Temp1",29,0.00419580419580431,0.251748251748259,1
"Temp1",30,0.00375874125874129,0.225524475524477,1
"Temp1",31,0.00476398601398568,0.285839160839141,1
"Temp1",32,0.00380244755244746,0.228146853146848,1
"Temp1",33,0.00393356643356642,0.236013986013985,1
"Temp1",34,0.00371503496503476,0.222902097902086,1
"Temp1",35,0.00367132867132857,0.220279720279714,1
"Temp1",36,0.00354020979020972,0.212412587412583,1
"Temp1",37,0.00292832167832152,0.175699300699291,1
"Temp1",38,0.00305944055944022,0.183566433566413,1
"Temp1",39,0.00362762237762229,0.217657342657337,1
"Temp1",40,0.00340909090909057,0.204545454545434,1
"Temp1",41,0.00297202797202795,0.178321678321677,1
"Temp1",42,0.00375874125874093,0.225524475524456,1
"Temp1",43,0.00406468531468484,0.24388111888109,1
"Temp1",44,0.00319055944055945,0.191433566433567,1
"Temp1",45,0.00305944055944034,0.18356643356642,1
"Temp1",46,0.00279720279720258,0.167832167832155,1
"Temp1",47,0.00393356643356636,0.236013986013982,1
"Temp1",48,0.00319055944055921,0.191433566433552,1
"Temp1",49,0.00305944055944059,0.183566433566436,1
"Temp1",50,0.00354020979020956,0.212412587412573,1
"Temp1",51,0.00310314685314682,0.186188811188809,1
"Temp1",52,0.00327797202797204,0.196678321678322,1
"Temp1",53,0.00275349650349628,0.165209790209777,1
"Temp1",54,2.00971834711515e-15,1.20583100826909e-13,1
"Temp2",0,0.0041520979020977,0.249125874125862,1
"Temp2",1,0.00537587412587392,0.322552447552435,1
"Temp2",2,0.00528846153846133,0.31730769230768,1
"Temp2",3,0.00437062937062924,0.262237762237754,1
"Temp2",4,0.00432692307692299,0.259615384615379,1
"Temp2",5,0.00428321678321663,0.256993006992998,1
"Temp2",6,0.00441433566433549,0.26486013986013,1
"Temp2",7,0.00397727272727236,0.238636363636342,1
"Temp2",8,0.00463286713286697,0.277972027972018,1
